pathway	pval	padj	log2err	ES	NES	size
Terpenoid backbone biosynthesis	0.693757565277538	0.866408332646275	0.0176273666675132	-0.464806751766682	-0.836840527283014	14
Thiamine metabolism	0.920962199312715	0.994368266405485	0.0134247846340643	-0.335656548031892	-0.611399579878408	15
Tryptophan metabolism	0.46754617414248	0.765979902318531	0.023980807668029	-0.60065847255883	-1.0304674583509	10
Two-component system	0.0158730158730159	0.122222222222222	0.194887297433682	0.537472998595868	1.42802750643563	159
Tyrosine metabolism	0.720639332870049	0.867019197359277	0.0214712924528957	0.43805542185514	0.78327410123056	10
Ubiquinone and other terpenoid-quinone biosynthesis	0.994368266405485	0.994368266405485	0.0174488634993075	0.222273245061468	0.450137000668414	23
Valine, leucine and isoleucine biosynthesis	0.0856117566643882	0.296766900909735	0.0628526173488668	-0.758019585034565	-1.3949017324308	16
Valine, leucine and isoleucine degradation	0.011013986013986	0.0942307692307692	0.181914998907505	-0.909420084892742	-1.57962212921952	11
Vitamin B6 metabolism	0.788840453356582	0.90657783445458	0.0158744158695942	-0.422276805773469	-0.741938030836607	12
beta-Alanine metabolism	0.228016117563404	0.504511278195489	0.0442332865829381	0.659095161969524	1.24494153125675	14
