ontology_id	ontology_name	nr_common_with_tested_elements	nr_common_with_background_elements	p_value	eFDR
eco00930	Caprolactam degradation	3	3	0.00531043111922647	0.0425
eco00946	Degradation of flavonoids	0	1	1	1
eco00970	Aminoacyl-tRNA biosynthesis	1	36	0.999039577839176	1
eco00984	Steroid degradation	2	2	0.030477256858169	0.11
eco00999	Biosynthesis of various plant secondary metabolites	0	3	1	1
eco01040	Biosynthesis of unsaturated fatty acids	0	3	1	1
eco01053	Biosynthesis of siderophore group nonribosomal peptides	0	6	1	1
eco02010	ABC transporters	30	175	0.57887412044747	0.919052631578947
eco02020	Two-component system	38	160	0.0240319469746507	0.1048
eco02024	Quorum sensing	10	64	0.702908312202999	1
eco02026	Biofilm formation - Escherichia coli	9	49	0.492799202112194	0.852058823529412
eco02030	Bacterial chemotaxis	1	16	0.953986024688359	1
eco02040	Flagellar assembly	8	29	0.118816307217006	0.296137931034483
eco02060	Phosphotransferase system (PTS)	12	35	0.0122296158978574	0.0541538461538461
eco03008	Ribosome biogenesis in eukaryotes	0	2	1	1
eco03010	Ribosome	14	75	0.438829254105056	0.818083333333333
eco03018	RNA degradation	2	16	0.797383967124603	1
eco03020	RNA polymerase	0	4	1	1
eco03030	DNA replication	0	17	1	1
eco03060	Protein export	0	18	1	1
eco03070	Bacterial secretion system	0	23	1	1
eco03250	Viral life cycle - HIV-1	1	1	0.174689021092482	0.404363636363636
eco03258	Virion - Bacteriophage lambda	0	0	1	1
eco03410	Base excision repair	0	14	1	1
eco03420	Nucleotide excision repair	0	8	1	1
eco03430	Mismatch repair	1	22	0.985551566115469	1
eco03440	Homologous recombination	0	27	1	1
eco04122	Sulfur relay system	1	19	0.974208988569616	1
eco04146	Peroxisome	2	7	0.352780062560695	0.702512195121951
eco04980	Cobalamin transport and metabolism	0	3	1	1
eco04981	Folate transport and metabolism	0	6	1	1
