gene_R,padj_R,gene_python,padj_python,diff_padj,ratio_padj
b0010,9.3563282282834e-05,b0010,9.512028426088828e-05,1.5570019780542752e-06,1.0166411645686775
b0019,2.33192212162566e-10,b0019,2.606301840082147e-10,2.743797184564867e-11,1.1176624707626204
b0020,1.98768778487103e-12,b0020,2.8026926511571396e-12,8.150048662861095e-13,1.4100266010031302
b0030,1.17114038011525e-27,b0030,1.4954324158105596e-26,1.3783183777990346e-26,12.769027874040143
,,b0034,0.0425566051761581,,
b0059,8.87201028740396e-09,b0059,9.365181045135449e-09,4.93170757731489e-10,1.0555872617090705
b0080,3.1386738804085203e-09,b0080,5.222760270767657e-09,2.0840863903591364e-09,1.6640022091393192
b0117,0.0040742461603113,b0117,0.0047446018121581,0.0006703556518467997,1.1645348919701946
b0162,4.00098767112832e-26,b0162,2.721786332724556e-25,2.321687565611724e-25,6.802786102954883
b0201,0.017414495863756,b0201,0.0193843076253593,0.0019698117616032997,1.1131133382794607
b0204,0.0234048835075119,b0204,0.0255817764672612,0.0021768929597493006,1.093010202723317
b0210,6.02513076675183e-05,b0210,6.418969993725554e-05,3.938392269737236e-06,1.0653660878444375
b0220,6.20481259203452e-17,b0220,3.8352700510465234e-17,-2.3695425409879973e-17,0.6181121499092629
b0259,1.4048015480852298e-22,b0259,1.0405990445319913e-21,9.001188897234683e-22,7.4074451722404975
b0268,2.0946942048504e-13,b0268,2.2593624011119873e-13,1.6466819626158738e-14,1.078612045557909
b0269,2.24447757654996e-27,b0269,5.737284678718635e-27,3.4928071021686745e-27,2.5561782120976018
b0270,5.99261668815374e-06,b0270,7.518031744330043e-06,1.5254150561763025e-06,1.254549078567257
b0282,0.0004277817157656,b0282,0.0004192578537385,-8.52386202710001e-06,0.980074272197808
b0283,2.73165965535875e-07,b0283,3.155002362848907e-07,4.2334270749015685e-08,1.154976373670738
b0284,6.53646240421685e-22,b0284,1.1174133134507365e-21,4.637670730290515e-22,1.7095077495280364
b0285,1.5793483330438402e-14,b0285,2.0603106786102055e-14,4.8096234556636525e-15,1.3045321513332135
b0286,8.05069962440195e-11,b0286,1.234574089270083e-10,4.29504126829888e-11,1.5334991328306997
b0287,8.9744475865456e-07,b0287,1.180065020982544e-06,2.8262026232798394e-07,1.314916611415376
b0293,0.0001344595823453,b0293,0.0001642739642546,2.9814381909300025e-05,1.2217348989879722
b0304,1.95887711293017e-06,b0304,3.280493498107392e-06,1.321616385177222e-06,1.6746805996422578
b0305,2.87478118664341e-06,b0305,4.7295472267590315e-06,1.8547660401156213e-06,1.6451851183433002
b0306,5.14058093433711e-67,b0306,8.35982406379399e-68,-4.3045985279577115e-67,0.1626241113714127
b0307,6.426154082422311e-67,b0307,1.4270539137195591e-67,-4.999100168702752e-67,0.22206966957468866
b0308,3.8130423997063503e-44,b0308,5.743765042218533e-45,-3.238665895484497e-44,0.15063470164037177
b0328,2.4982002920427202e-09,b0328,2.238541447227371e-09,-2.5965884481534933e-10,0.8960616385954256
b0329,1.6150299267295e-11,b0329,4.392236166130078e-11,2.777206239400578e-11,2.719600481351161
b0330,1.7829431704451302e-09,b0330,2.4261852358494382e-09,6.43242065404308e-10,1.3607754167754635
b0342,4.51580683034679e-10,b0342,6.866551475322237e-10,2.350744644975447e-10,1.5205591676725734
b0343,6.73767647981434e-42,b0343,3.296051336321171e-41,2.622283688339737e-41,4.891970319732531
b0344,8.86812235131016e-68,b0344,2.0276360757709025e-65,2.018767953419592e-65,228.64322293335786
b0346,1.32808095356195e-13,b0346,3.026381125953648e-13,1.6983001723916981e-13,2.278762539163603
b0355,2.01246515552983e-09,b0355,5.268828062849152e-09,3.256362907319322e-09,2.6180965411358916
b0366,0.0026140260258091,b0366,0.0042722605746013,0.0016582345487921998,1.6343603821920398
b0377,3.6980598552866804e-09,b0377,4.6758858520655486e-09,9.778259967788682e-10,1.2644159464809597
b0379,6.72559628729559e-30,b0379,9.818404576407186e-30,3.092808289111597e-30,1.4598563691599808
b0380,2.78265860802348e-05,b0380,3.412748812533872e-05,6.30090204510392e-06,1.2264346056298816
b0390,6.97019865384428e-16,b0390,6.949998074090419e-16,-2.020057975386091e-18,0.9971018645583767
b0412,2.49184204073287e-10,b0412,3.545792707119483e-10,1.0539506663866129e-10,1.4229604642502292
b0428,3.72504437294481e-16,b0428,9.59336714172451e-16,5.868322768779699e-16,2.575369896638448
b0429,3.34184436324427e-13,b0429,4.098063502028699e-13,7.56219138784429e-14,1.2262879585601916
b0440,1.39576822045888e-18,b0440,9.198555707666085e-19,-4.759126496922715e-19,0.6590317484547628
b0445,2.9241680805182e-08,b0445,3.679995372614746e-08,7.558272920965462e-09,1.258476007973729
b0453,1.39938588722685e-10,b0453,1.4244550748300659e-10,2.506918760321585e-12,1.0179144207698816
b0460,8.78256883184141e-05,b0460,7.366635481217772e-05,-1.4159333506236378e-05,0.8387791342448535
b0461,8.533164400081681e-17,b0461,4.9797010896792564e-17,-3.553463310402424e-17,0.5835702743089761
b0476,6.64138192666199e-08,b0476,1.4628649642743714e-07,7.987267716081723e-08,2.2026514668606305
b0484,1.1034639547471901e-19,b0484,1.0601553389859421e-19,-4.330861576124802e-21,0.9607521246390234
b0485,2.2187377549085302e-91,b0485,4.1898291663976684e-91,1.9710914114891382e-91,1.8883841306294435
b0486,1.02353463467726e-84,b0486,8.608727554048173e-85,-1.6266187927244266e-85,0.8410782852270231
b0487,1.22770921547806e-40,b0487,6.035317657809895e-40,4.807608442331836e-40,4.915917858822777
b0517,1.813776214172e-05,b0517,3.931402987460461e-05,2.117626773288461e-05,2.1675237312863156
b0552,3.94292375814383e-26,b0552,6.9834378001108215e-25,6.5891454242964385e-25,17.711318373039866
b0553,4.7135268482004803e-144,b0553,3.927581362220314e-141,3.9228678353721137e-141,833.2574500386642
b0557,4.43493442501152e-84,b0557,1.2576424853126851e-84,-3.177291939698835e-84,0.28357634291501804
b0565,1.62013400137648e-94,b0565,2.153210416048931e-94,5.3307641467245105e-95,1.3290322986984686
b0598,3.2700072730743e-102,b0598,4.188567810162467e-100,4.155867737431724e-100,128.0904738240714
b0608,2.69613350551815e-50,b0608,2.399182250490414e-50,-2.969512550277361e-51,0.8898603298316019
b0621,0.0050921203605653,b0621,0.0058520372228109,0.0007599168622455998,1.1492338767423083
b0622,0.0007747889352935,b0622,0.0009241079025068,0.00014931896721329997,1.1927221213564905
b0623,1.47055094053758e-05,b0623,1.391768042147814e-05,-7.878289838976602e-07,0.9464262704419026
b0650,1.08337420550632e-05,b0650,1.8146135233768423e-05,7.312393178705223e-06,1.6749646743977757
b0651,6.90615602350318e-12,b0651,1.4955257106032455e-11,8.049101082529275e-12,2.1654965591765376
b0656,1.78942413148446e-27,b0656,2.679235845083236e-26,2.50029343193479e-26,14.97261492087184
b0679,2.5703991912832197e-56,b0679,5.655559134588613e-55,5.3985192154602904e-55,22.002649058433562
b0681,1.1245030336483999e-17,b0681,1.1912941822857614e-17,6.679114863736149e-19,1.059396148021638
,,b0682,0.0140502423515351,,
b0698,1.3336809920729e-05,b0698,1.1139342855499025e-05,-2.1974670652299754e-06,0.8352329321411023
b0753,1.73265869597614e-26,b0753,7.1169756726851e-27,-1.02096112870763e-26,0.410754621739024
b0757,1.83922418283543e-07,,,,
b0763,3.2856654019131296e-11,b0763,8.076953553224513e-11,4.7912881513113836e-11,2.458239828231317
b0788,6.927072260541021e-15,b0788,7.964390129412365e-15,1.037317868871344e-15,1.1497483828457027
b0789,9.44862700378279e-14,b0789,9.21920280841499e-14,-2.2942419536780013e-15,0.9757187795352754
b0790,5.8953535363529e-16,b0790,6.705009137164789e-16,8.09655600811889e-17,1.1373379214357981
b0791,1.5344377951063501e-09,b0791,1.4968078933476111e-09,-3.762990175873898e-11,0.9754764240826518
b0797,6.633568223774659e-12,b0797,5.24091954872699e-12,-1.3926486750476697e-12,0.7900603976519865
b0802,6.64138192666199e-08,b0802,7.58948174308143e-08,9.480998164194395e-09,1.1427564062553413
b0805,4.335177660709171e-09,b0805,5.414292501579942e-09,1.079114840870771e-09,1.248920557662738
b0808,2.02669596243717e-16,b0808,2.925746978692833e-16,8.990510162556633e-17,1.4436042864438947
b0811,5.78040880604626e-14,b0811,2.480945977466254e-13,1.902905096861628e-13,4.291990516088075
b0812,6.32028981105335e-14,b0812,1.0092718014057699e-13,3.7724282030043485e-14,1.5968758262329792
b0814,3.82193136857098e-19,b0814,4.678258618513467e-19,8.563272499424863e-20,1.2240561557395697
b0819,2.09293309162437e-15,b0819,3.597497884082841e-15,1.5045647924584713e-15,1.7188785912361615
b0822,9.1495417845423e-06,b0822,1.3533410341477012e-05,4.383868556934711e-06,1.4791353119279744
b0837,8.72907249163218e-37,b0837,5.029015905900464e-36,4.156108656737246e-36,5.761225961545576
b0846,7.6234345307569e-09,b0846,1.0286329970254317e-08,2.662895439497416e-09,1.3493039034773515
b0871,1.87741528761896e-13,b0871,2.3249088168041175e-13,4.474935291851576e-14,1.2383561762473412
b0880,5.1213101407709395e-22,b0880,2.346282627204717e-21,1.8341516131276232e-21,4.581410933358389
b0898,1.68679916468615e-07,b0898,2.1655783556517345e-07,4.7877919096558445e-08,1.2838388831278957
b0899,1.13713195607547e-14,b0899,6.912186434849326e-15,-4.459133125905375e-15,0.6078614181862437
b0929,0.0,b0929,0.0,0.0,
b0953,4.52607862630719e-17,b0953,1.8014794841200212e-17,-2.724599142187169e-17,0.398022136347605
b0963,2.0189144432478803e-15,b0963,9.679640397128211e-15,7.66072595388033e-15,4.7944777598184505
b0964,0.0034720476689911,b0964,0.004178147334629,0.0007060996656378998,1.2033669272297396
b0972,7.57961090452201e-07,b0972,7.847581006785578e-07,2.6797010226356805e-08,1.0353540710254265
b0973,1.15285220507607e-07,b0973,1.1815746227789233e-07,2.8722417702853316e-09,1.0249142236761895
