gene_R,padj_R,gene_python,padj_python,diff_padj,ratio_padj
b0002,0.0029587510965907,b0002,0.003138916945207,0.0001801658486163,1.0608925329419905
b0003,0.725859866974233,b0003,0.7277437097608332,0.0018838427866002538,1.0025953257265112
b0004,0.928909968301673,b0004,0.9513291173001406,0.02241914899846753,1.024134899789542
,,b0005,0.2755020445423252,,
b0006,0.122488492623593,b0006,0.1452954634931414,0.0228069708695484,1.1861968449528904
b0007,0.675658828800465,b0007,0.7024534557572633,0.02679462695679824,1.0396570366798408
b0008,0.0292538556160387,b0008,0.0394505958898456,0.010196740273806897,1.3485605592521088
b0009,0.0037696748425028,b0009,0.0060097849050294,0.0022401100625266002,1.594244903371911
b0010,9.3563282282834e-05,b0010,9.512028426088828e-05,1.5570019780542752e-06,1.0166411645686775
,,b0011,0.9401225506764213,,
b0014,0.825817290683546,b0014,0.8492708352230227,0.02345354453947668,1.0284004038230583
b0015,0.845488358134641,b0015,0.8386019311218154,-0.006886427012825602,0.9918550894916888
b0016,0.0031319845549566,b0016,0.0037667200187623,0.0006347354638057,1.2026623863138737
b0018,0.27257546281135,b0018,0.3214789181882567,0.04890345537690671,1.1794125372567115
b0019,2.33192212162566e-10,b0019,2.606301840082147e-10,2.743797184564867e-11,1.1176624707626204
b0020,1.98768778487103e-12,b0020,2.8026926511571396e-12,8.150048662861095e-13,1.4100266010031302
,,b0022,0.2848257463484113,,
b0023,0.243547847687519,b0023,0.2648368792463975,0.021289031558878485,1.0874121112587005
b0024,0.311801817286576,b0024,0.3243692998344053,0.0125674825478293,1.040305995190139
b0025,0.784654275389923,b0025,0.7749357104536183,-0.009718564936304741,0.9876142076311567
b0026,0.957874433827915,b0026,0.982117479088738,0.024243045260822993,1.0253092100641432
b0027,0.360294874896362,b0027,0.363040966129776,0.002746091233413961,1.007621788220562
b0028,0.092548856976871,b0028,0.0999549833276074,0.007406126350736397,1.0800239634789577
b0029,0.0591730478822804,b0029,0.0627219202738923,0.003548872391611897,1.0599744734912433
b0030,1.17114038011525e-27,b0030,1.4954324158105596e-26,1.3783183777990346e-26,12.769027874040143
b0031,0.25584775824861,b0031,0.2973380764199374,0.04149031817132742,1.1621679957461688
b0032,0.0020813469759576,b0032,0.002767885764515,0.0006865387885573999,1.3298531174704942
b0033,2.10193171057397e-06,b0033,4.41378632427275e-06,2.3118546136987796e-06,2.099871419261041
,,b0034,0.0425566051761581,,
