gene_R,log2FoldChange_R,gene_python,log2FoldChange_python,diff_log2fc,ratio_log2fc
b0010,1.33305061186151,b0010,1.348387312447261,0.015336700585750984,1.0115049649647843
b0019,1.02647047639393,b0019,1.0307736193669956,0.004303142973065555,1.0041921741268027
b0020,1.20955239133437,b0020,1.2156275327366413,0.006075141402271278,1.005022636014608
b0030,-1.57767243384586,b0030,-1.5724698100002443,0.005202623845615761,0.9967023421757244
,,b0034,-1.2041223390490938,,
b0059,1.09029774277736,b0059,1.0946366134311905,0.00433887065383054,1.0039795282367345
b0080,-1.06056242801764,b0080,-1.0542374759206032,0.006324952097036762,0.9940362283917042
b0117,1.56411984554663,b0117,1.5601889822217148,-0.0039308633249153235,0.9974868528545896
b0162,-2.11817692412847,b0162,-2.1026330539340288,0.015543870194441034,0.9926616752277024
b0201,-2.09266238194682,b0201,-2.0496029915835643,0.0430593903632559,0.9794236324336287
b0204,-1.83572919432491,b0204,-1.796172515116936,0.03955667920797401,0.97845178944135
b0210,1.2127690066309,b0210,1.2102524586586536,-0.00251654797224643,0.9979249568891627
b0220,1.87520073572774,b0220,1.8810400596044623,0.005839323876722258,1.0031139726886125
b0259,-1.50113068706028,b0259,-1.494592543207797,0.006538143852482969,0.9956445205545116
b0268,-1.83146991086821,b0268,-1.825618935230563,0.005850975637647027,0.9968053116226882
b0269,-2.0809757483712,b0269,-2.074854398064663,0.006121350306536932,0.9970584230444165
b0270,-1.05957289006061,b0270,-1.0534264249679253,0.006146465092684794,0.9941991106507706
b0282,1.66899152814293,b0282,1.6959336657654536,0.02694213762252362,1.0161427647583698
b0283,1.31944462750395,b0283,1.323496038418417,0.004051410914466924,1.0030705425828526
b0284,1.76497096832204,b0284,1.7711028307960972,0.00613186247405717,1.0034742001903219
b0285,1.98155947460662,b0285,1.9845500081602032,0.002990533553583141,1.0015091818297186
b0286,1.72490603102805,b0286,1.7323027133998306,0.007396682371780594,1.0042881654065365
b0287,-1.6450772299836,b0287,-1.6291224674318314,0.015954762551768642,0.9903015115272565
b0293,-1.40780631824507,b0293,-1.3999010966242846,0.00790522162078533,0.9943847235814087
b0304,-1.12967805934192,b0304,-1.1219214034548683,0.0077566558870516555,0.9931337465369823
b0305,-1.38386526975146,b0305,-1.3679494538901056,0.015915815861354377,0.9884990134449918
b0306,-4.85769390849216,b0306,-4.852183519741285,0.0055103887508751725,0.9988656368938269
b0307,-3.75868804761445,b0307,-3.750056657655308,0.008631389959142144,0.997703616301805
b0308,-3.92495937307359,b0308,-3.91608281094816,0.008876562125430087,0.9977384321003866
b0328,-1.97907632799026,b0328,-1.981423336863356,-0.0023470088730961347,1.001185911245515
b0329,-1.03639636444023,b0329,-1.0285345316480423,0.007861832792187773,0.9924142605455452
b0330,-1.38010788492693,b0330,-1.3699300575315527,0.010177827395377204,0.9926253392893875
b0342,-3.05170666620884,b0342,-3.04840144963424,0.003305216574599701,0.9989169284809717
b0343,-2.81317046670693,b0343,-2.7932079400140495,0.019962526692880456,0.9929039043566213
b0344,-2.46939249517006,b0344,-2.463427141820737,0.0059653533493229105,0.997584283032774
b0346,-1.49796399091269,b0346,-1.4881800599550672,0.009783930957622866,0.9934685139182406
b0355,-1.04124277056465,b0355,-1.030806134253548,0.010436636311102143,0.9899767502775145
b0366,-1.64675649044112,b0366,-1.5661470782180071,0.08060941222311291,0.9510495858428225
b0377,1.03759075210075,b0377,1.041995005952859,0.004404253852109186,1.0042446926624897
b0379,4.36727444268638,b0379,4.374084180491497,0.0068097378051170665,1.0015592649132736
b0380,-1.29331988118743,b0380,-1.281318745538523,0.012001135648906924,0.99072067488989
b0390,1.61358097541569,b0390,1.6191135700398838,0.005532594624193754,1.0034287678824227
b0412,1.71254626871496,b0412,1.7167859777317906,0.004239709016830684,1.0024756756032127
b0428,-1.13920532047365,b0428,-1.1319408555302477,0.007264464943402382,0.993623217155989
b0429,-1.25862200512659,b0429,-1.2533308220750137,0.005291183051576276,0.995796050736421
b0440,-2.06483072596786,b0440,-2.055918114590705,0.008912611377155155,0.995683611607931
b0445,-1.43210007281829,b0445,-1.4227117150246624,0.009388357793627566,0.993444342353009
b0453,1.15265877283296,b0453,1.1577226441679502,0.0050638713349902,1.0043932093819443
b0460,1.30528790246636,b0460,1.3083643538025165,0.003076451336156527,1.0023569140036797
b0461,2.32885042263124,b0461,2.3353549156733746,0.00650449304213474,1.0027930059307053
b0476,-1.21406751545181,b0476,-1.1956354819371775,0.018432033514632407,0.984817950171599
b0484,1.69599489041707,b0484,1.7016846574891358,0.005689767072065699,1.0033548255977744
b0485,3.37832912543577,b0485,3.3836895695695324,0.005360444133762243,1.001586714596101
b0486,3.79051036093827,b0486,3.794700895506459,0.004190534568188742,1.0011055330731642
b0487,2.57765176664232,b0487,2.5811437202051635,0.003491953562843264,1.0013547033808186
b0517,-1.73368546921565,b0517,-1.6853207104679928,0.04836475874765722,0.9721029220083742
b0552,-1.54111656411929,b0552,-1.5328169547539183,0.008299609365371774,0.9946145479462063
b0553,-4.12070175546647,b0553,-4.114913878080936,0.005787877385534657,0.9985954146334768
b0557,-4.9120746401915,b0557,-4.905829114758232,0.006245525433268284,0.9987285361296903
b0565,-3.92613920012307,b0565,-3.9182094979338062,0.00792970218926392,0.9979802799174784
b0598,-3.38549802994607,b0598,-3.3771896454446724,0.008308384501397814,0.9975458900203436
b0608,3.4394223379554,b0608,3.4413343022005645,0.001911964245164377,1.0005558969086363
b0621,-1.01955421684862,b0621,-1.0053551511755432,0.014199065673076827,0.9860732608051338
b0622,2.15189885372302,b0622,2.147739127069892,-0.004159726653127915,0.998066950662699
b0623,-1.13481511801364,b0623,-1.1285343291055787,0.0062807889080613855,0.9944653637333849
b0650,-1.44940452023665,b0650,-1.4284722950012334,0.02093222523541649,0.9855580516390284
b0651,-1.13871712435416,b0651,-1.132784697739476,0.005932426614684072,0.9947902543240941
b0656,-1.56384439145392,b0656,-1.5561762580044656,0.007668133449454384,0.9950966135177137
b0679,-2.4488099077345,b0679,-2.442484641996018,0.0063252657384818,0.997417004187012
b0681,-3.59485247428326,b0681,-3.5910104608150166,0.0038420134682435325,0.9989312458589807
,,b0682,-2.346868993046686,,
b0698,1.25159785372471,b0698,1.2565863910068351,0.004988537282125005,1.003985734928579
b0753,2.88108475215994,b0753,2.8888058744015557,0.007721122241615586,1.002679935824806
b0757,-1.0032100784994,,,,
b0763,-1.12733041567199,b0763,-1.1184679789852887,0.008862436686701392,0.9921385633142714
b0788,1.55484575476828,b0788,1.5620516813432366,0.007205926574956667,1.0046344960925275
b0789,1.44563322567504,b0789,1.4498014577443192,0.0041682320692792985,1.0028833261405796
b0790,1.48241978035404,b0790,1.4849493243460044,0.002529543991964367,1.0017063614675732
b0791,-1.54643772983392,b0791,-1.5369499256336712,0.009487804200248862,0.9938647356972674
b0797,1.62258000519595,b0797,1.6304245533947854,0.0078445481988354,1.0048346141168478
b0802,2.37733169545094,b0802,2.381082728127922,0.003751032676982291,1.0015778331160772
b0805,-1.84715513700598,b0805,-1.833945770062016,0.013209366943963907,0.9928488048029497
b0808,1.48681785172562,b0808,1.4920584072418337,0.0052405555162136075,1.003524678904098
b0811,-1.04285080637895,b0811,-1.0355155329062915,0.007335273472658388,0.9929661333838075
b0812,1.1858806081431,b0812,1.188871834400054,0.002991226256954027,1.0025223671223007
b0814,1.53731869548557,b0814,1.5413984000860332,0.004079704600463252,1.0026537793448056
b0819,1.26231480117498,b0819,1.266655097236166,0.004340296061186022,1.003438362647056
b0822,1.02219544209177,b0822,1.017344106120025,-0.00485133597174503,0.9952540035183316
