gene_id	gene_name	C1	C2	C3	sac1	sac2	sac3
b0001	b0001	0	0	1	1	0	0
b0002	b0002	2754.301	2375.2	8666.646	5901.605	4451.073	6523.843
b0003	b0003	1085.855	899.093	4300.033	1882.029	1410.064	2199.441
b0004	b0004	1851.635	1484.34	7284.348	2973.411	2182.05	3516.547
b0005	b0005	4	4	3	15	9.365	5
b0006	b0006	250	222.061	1011.467	269.304	288.252	439.462
b0007	b0007	86	76	447.655	117	108	213.342
b0008	b0008	6797.171	5714.955	26023.088	7720.014	7757.224	10089.469
b0009	b0009	255.009	221	850.009	251.814	239.947	317.695
b0010	b0010	12	15	72	64.8	61.13	95.778
b0011	b0011	3	3	5.011	3	2	8
b0012	b0012	0	0	1	0	2	1
b0013	b0013	0	0	0	1	0	1
b0014	b0014	6209.129	10709.073	28968.367	15084.779	8924.419	15505.912
b0015	b0015	961.979	1702.018	4238.395	2403.585	1741.732	2567.594
b0016	b0016	204.378	228.748	759.928	497.488	426.367	624.45
b0018	b0018	8	13	61	7.01	10.101	22.536
b0019	b0019	810.043	794.68	2719.978	2898.143	1960.2	3188.917
b0020	b0020	211	215.056	922	794.813	689.61	1208.824
b0021	b0021	0	3.211	9.676	2	2	5
b0022	b0022	3	0	6.324	5	3	14.012
b0023	b0023	390	170	874.643	327.111	276.452	423.396
b0024	b0024	15	3	27.057	24.155	10	36.078
b0025	b0025	728.024	517.01	2298.145	1044.179	920.056	1217.922
b0026	b0026	8295.498	7353.756	31650.908	12885.659	10899.551	15983.773
b0027	b0027	1096.304	1140.109	4307.57	2131.518	1659.788	2566.047
b0028	b0028	506.741	395.73	1656.443	841.732	804.665	1042.223
b0029	b0029	694.923	704.691	2861.259	1404.684	1411.257	1690.464
b0030	b0030	3016.43	2654.922	12603.655	1452.507	1449.851	2077.906
b0031	b0031	736.018	579.244	2725.575	853.928	895.787	1179.333
b0032	b0032	434	297	1098.241	366.817	322.853	364.319
b0033	b0033	1529.814	1134.073	4768.74	1346.634	1085.551	1566.795
b0034	b0034	7	10	32	5	3	5
b0035	b0035	5	12	20	12.716	9	10
b0036	b0036	23	23	62.606	27.378	12	14.01
b0037	b0037	71	62	241.01	89.627	81.167	117.282
b0038	b0038	51	49	211.104	102.253	86.998	119.801
b0039	b0039	16	42	81.953	33	38.003	36
b0040	b0040	5	2	23	11	13	15.998
b0041	b0041	11	13	65.705	10	17.414	19
b0042	b0042	17	15	60.414	15	16.371	19.988
b0043	b0043	34	13	81.796	27.108	25.216	29.013
b0044	b0044	7	0	6.931	8.971	1	3
b0045	b0045	17	16	48.001	34.046	15	22.398
b0046	b0046	56	57.999	219.455	77.54	56	102.084
b0047	b0047	477	392.021	1789.971	620.648	491.65	764.245
b0048	b0048	282.015	218.011	822.18	226.044	241.833	321.316
b0049	b0049	395.998	357.965	1585.281	716.053	647.674	896.328
b0050	b0050	445.002	329.035	1296.903	693.722	608.792	772.923
b0051	b0051	1612.484	1346.536	6052.144	2411.966	2253.516	4048.149
b0052	b0052	2172.669	1882.504	8060.165	3048.425	3004.56	5338.239
b0053	b0053	4257.617	3319.362	18783.471	6020.406	5633.732	9981.976
b0054	b0054	5807.32	4354.204	20741.798	8363.223	8287.139	12347.433
b0055	b0055	87	70	290.994	132.009	99	137.797
b0056	b0056	43	31	109.687	45.211	48.26	69
b0057	b0057	21	32	77.315	30.789	27.74	36
b0058	b0058	142	110	389.713	331.619	238.107	302.714
b0059	b0059	437.018	425.001	2147.717	1817.78	1232.931	2240.924
b0060	b0060	421.13	400	1781.93	909.049	814.136	1294.363
b0061	b0061	76	48.005	260.864	79.954	98.051	92.379
b0062	b0062	253	222.951	1210.965	291.196	268.203	426.905
b0063	b0063	220	183.115	904.314	226.243	190.148	267.359
b0064	b0064	499	308.167	2162.232	505.848	355.023	480.383
b0065	b0065	233.999	133	683.993	290.888	244.11	371.091
b0066	b0066	43	28	178.953	84.02	53.736	77.481
b0067	b0067	150.957	178.942	623.784	265.41	222.888	313.857
b0068	b0068	108.043	111.058	379.346	181.571	149.876	174.208
b0069	b0069	204	197.576	808.339	298.22	307.134	393.967
b0070	b0070	40	30	101.086	54.001	57.716	64.723
b0071	b0071	77	74.993	236.794	138	132.756	171.409
b0072	b0072	191	165.062	594.798	324.219	282.873	406.985
b0073	b0073	121	128	433.226	216.108	197.396	299.966
b0074	b0074	99.001	68.008	322.262	137.894	118.058	188.982
b0075	b0075	0	2	2	0	0	0
b0076	b0076	20	16	43	21	18.002	30.001
b0077	b0077	182	140.624	612.367	197.809	199.001	277.297
b0078	b0078	14	15	56.005	16	18	22.001
b0080	b0080	2178.05	1490.493	8927.774	1428.322	1242.291	2078.339
b0081	b0081	313	301.91	803.621	610.66	470.571	568.09
b0082	b0082	598.011	528.278	2162.972	1209.93	1003.602	1448.21
b0083	b0083	74	41	252.897	138.32	132.465	156.319
b0084	b0084	479.264	377.038	2086.701	1041.929	858.724	1331.162
b0085	b0085	1613.333	1625.436	7277.372	3611.979	3302.884	5017.283
b0086	b0086	1683.404	1701.708	7850.572	3639.388	3220.766	5506.998
b0087	b0087	1422.183	1512.474	5436.197	2832.933	2467.924	4152.374
b0088	b0088	816.716	815.222	3630.808	1852.706	1437.216	2538.224
b0089	b0089	672.04	638.428	2489.104	1438.163	1257.418	2142.09
b0090	b0090	715.392	513.934	2072.298	1054.47	899.551	1523.054
b0091	b0091	1490.723	1337.587	5134.454	2452.298	2118.736	3480.897
b0092	b0092	882.424	704.001	2036.639	1104.643	892.816	1432.509
b0093	b0093	191.098	145	709.648	366.024	288.784	424.815
b0094	b0094	857	762.849	3566.753	1542.019	1298.665	2360.93
b0095	b0095	5405.993	4474.415	21070.273	8771.173	7683.87	11792.908
b0096	b0096	4960.763	4690.313	22621.97	11399.551	9892.473	18272.723
b0097	b0097	1031.198	738.009	3270.642	1130.222	1232.178	2139.429
b0098	b0098	4706.178	3945.501	18818.844	4540.39	4451.194	7599.396
b0099	b0099	4	4	9.001	8	8	13
b0101	b0101	201.998	88.896	360.048	174.979	147.067	217.857
b0102	b0102	474.001	368.694	1960.909	746.829	718.196	1040.106
b0103	b0103	173	168	673.962	389.927	363.357	502.367
b0104	b0104	812.182	565.677	2631.549	668.694	543.582	615.507
b0106	b0106	14	10	50	20	28.003	27.001
b0107	b0107	28	23	83.133	42.97	49.001	59.892
b0108	b0108	2	3	3	6.03	2	3
b0109	b0109	398.172	346	1512.702	549.554	474.055	657.446
b0110	b0110	264.85	186	824.987	271.983	259.839	335.181
b0111	b0111	453.176	346.002	1469.989	499.754	369.379	616.315
b0112	b0112	252	260	901.492	459.772	435.469	645.853
b0113	b0113	487.018	484.297	1128.168	603.129	275.274	500.491
b0114	b0114	12346.211	6574.317	35769.316	14715.686	10486.017	17155.305
b0115	b0115	9674.873	4634.321	26977.07	9479.995	6519.597	10383.134
