gene_id	gene_name	C1	C2	C3	sac1	sac2	sac3
b0116	b0116	24845.489	17633.893	75862.112	17154.314	17066.707	24097.715
b0117	b0117	8	1	15.001	23	21	33
b0118	b0118	49745.05	52749.038	216901.565	56011.054	60518.121	84741.196
b0119	b0119	30	24	56	18	22	43
b0120	b0120	617.747	390	1924.434	938.41	797.119	1249.009
b0121	b0121	473.254	372.958	1656.618	688.534	672.07	975.778
b0122	b0122	86	57	293.003	115.024	179.346	227.02
b0123	b0123	834.693	726.415	2634.249	1213.636	929.159	1223.942
b0124	b0124	1854.466	1560.504	7818.748	1729.834	1789.72	3408.089
b0125	b0125	452.192	343.065	1460.552	472.005	443.386	568.552
b0126	b0126	957.068	779.878	4226.23	1691.394	1645.14	2048.797
b0127	b0127	488.376	358.001	1386.834	834.841	811.051	1077.275
b0128	b0128	384.542	339.289	1348.842	702.757	667.278	1113.285
b0129	b0129	156	85.025	362.527	106	111.732	164.089
b0130	b0130	119	67	405.074	146	181.548	256.036
b0131	b0131	573	504.088	2659.566	731.678	758.108	945.876
b0132	b0132	18	13	24	11	10.003	18
b0133	b0133	1502.712	1430.381	6191.907	2057.365	1850.298	2547.095
b0134	b0134	1292.586	1361.137	5957.261	1757.763	1580.859	2157.265
b0135	b0135	8	4	19	7	8	10
b0136	b0136	4	9	9	4	4	9.061
b0137	b0137	2	0	25	4	3	5.938
b0138	b0138	8	6	30	1	8	8
b0139	b0139	4	16	17	7	4	8
b0140	b0140	0	1	1	0	1	1
b0141	b0141	1	1	12	2	1	2
b0142	b0142	94.024	69.818	273.277	163	127.002	185.166
b0143	b0143	1295.976	1208.857	5083.996	2458.196	2007.794	2789.11
b0144	b0144	176.011	180.036	909.728	370.12	385.389	584.667
b0145	b0145	1367.807	985.157	4921.057	1067.825	870.114	1186.707
b0146	b0146	258.984	197.914	1018.044	365.706	396.397	555.047
b0147	b0147	114	95.125	506.382	158.549	209.025	338.986
b0148	b0148	346.001	335.302	1242.739	562.328	462.658	668.008
b0149	b0149	1080.048	954.435	3746.434	1836.147	1494.9	2242.919
b0150	b0150	771.139	574.867	4270.875	500.208	1251.315	924.148
b0151	b0151	137.393	74.216	542.34	122.454	205.61	198.537
b0152	b0152	79	76	435.588	107.127	155.316	156.772
b0153	b0153	169	122.01	650.855	138.357	190.722	200.563
b0154	b0154	2108.797	1981.365	7926.749	2617.115	2381.752	3211.323
b0155	b0155	200	138	672.233	234.676	287.129	487.548
b0156	b0156	220	127	729.207	285.587	280.922	342.582
b0157	b0157	49	52	207.415	69	59.012	89.391
b0158	b0158	189.277	199.53	838.852	264.206	261.686	393.951
b0159	b0159	1504.228	1294.601	5053.295	1678.748	1539.097	2093.725
b0160	b0160	263	209	886.386	335.006	315.486	511.506
b0161	b0161	3987.271	3017.286	14041.473	11627.922	9052.184	15003.487
b0162	b0162	328	209	1045.721	100.024	83.862	121.638
b0163	b0163	385	219	1105.321	298.357	307.038	378.786
b0164	b0164	72	29	178.008	48.107	59.502	85.544
b0166	b0166	3847.895	3647.321	14952.501	4529.743	4046.178	5961.511
b0167	b0167	684	591.364	2508.334	1227.472	1120.71	1536.125
b0168	b0168	1422.344	1087.84	5328.761	1806.892	1880.721	2343.773
b0169	b0169	8967.748	5887.381	35218.37	9480.167	8041.674	12450.904
b0170	b0170	8433.455	5385.31	27433.504	7832.803	5686.848	8899.983
b0171	b0171	1559.729	999.892	3658.559	1334.178	987.723	1216.427
b0172	b0172	2285.022	1921.796	8495.103	2716.32	2480.883	3490.717
b0173	b0173	601.592	439.92	2500.372	1221.77	1241.27	2164.867
b0174	b0174	643.1	554.099	2281.5	823.957	918.84	1230.066
b0175	b0175	1074.373	905.419	3402.612	1433.929	1211.646	2188.22
b0176	b0176	2403.904	1831.77	8192.883	3467.518	2964.17	5009.448
b0177	b0177	13151.73	9611.904	42179.997	14668.173	13206.864	23076.944
b0178	b0178	2590.82	2276.516	10935.792	3313.67	2537.781	4994.781
b0179	b0179	4241.922	3627.836	17529.076	6676.051	5707.468	10077.415
b0180	b0180	712.297	646.378	2632.152	940.942	844.59	1701.147
b0181	b0181	1720.931	2116.447	7915.179	3175.566	2512.579	3894.554
b0182	b0182	787.596	748.571	2501.811	1402.166	1185.92	1939.096
b0183	b0183	264.773	286.847	1155.357	730.531	617.001	848.097
b0184	b0184	1640.842	1493.752	5751.591	3080.665	2724.937	4239.65
b0185	b0185	1418.451	1064.614	5673.928	1844.504	1708.996	2670.001
b0186	b0186	1178	1138.75	4584.039	2253.861	2090.717	3515.273
b0187	b0187	143	105	562.066	297.481	268.559	470.011
b0188	b0188	242	282.221	1109.173	548.441	482.546	640.346
b0189	b0189	219.669	212.394	947.572	390.423	336.631	496.006
b0190	b0190	221.195	188.522	746.322	242.92	244.003	354.96
b0191	b0191	86	59.404	223.274	122.183	128.205	199.411
b0192	b0192	148	85.73	552.806	315.06	254.941	376.984
b0193	b0193	17	12	51.001	17	20	32.03
b0194	b0194	5106.555	4318.149	17819.789	7023.563	5609.26	7947.666
b0195	b0195	341.014	260.183	1564.553	617.503	581.637	966.381
b0196	b0196	309.022	247.72	1151.753	435.585	458.597	581.148
b0197	b0197	769.993	581.431	2605.032	1249.41	1067.927	1657.118
b0198	b0198	326.045	258.515	1068.998	699.022	493.619	699.719
b0199	b0199	155	147.099	654.921	621.722	436.999	529.389
b0200	b0200	256	175.003	619.168	238.214	232.219	316.915
b0201	b0201	800.5	857.378	102.259	61.454	137.63	56.002
b0202	b0202	0	1	0	0	1	0
b0203	b0203	1	1	0	2	1	1
b0204	b0204	1732.571	2510.248	247.023	222.982	350.401	155.432
b0205	b0205	143.329	232.983	6	31.003	10	8
b0206	b0206	0	0	2	2	0	1
b0207	b0207	182	151	555.212	133.026	106.866	161.556
b0208	b0208	141	125	463.628	192.768	159.13	256.978
b0209	b0209	359.65	324.359	1885.392	1064.29	1183.196	1726.899
b0210	b0210	35.327	54.645	276.495	178.361	173.368	356.816
b0211	b0211	605.401	875.517	3096.351	1209.754	975.811	1483.881
b0212	b0212	257	215	802.608	325.015	349.908	669.917
b0213	b0213	109	86	373.298	174.441	123.01	181.908
b0214	b0214	56	40	216.77	92	84.587	134.99
b0215	b0215	182	196.198	878.922	475.118	380.377	539.165
b0216	b0216	2	1	0	1	1	1
b0217	b0217	5	3	13	4	12	17
b0219	b0219	181	179	711.108	480.77	361.595	598.561
b0220	b0220	240.051	223	817.724	1838.14	1022.241	1338.575
b0221	b0221	1909.042	1510.088	7618.227	1459.484	1489.053	1923.541
b0222	b0222	1315.913	1224.94	4642.53	1545.218	1316.527	1794.433
b0223	b0223	563.088	446.234	1886.072	801.883	751.677	956.782
b0224	b0224	410.001	274.036	1546.659	660.014	749.429	1312.614
b0225	b0225	7	9	37.641	11.005	9	37.005
b0226	b0226	158	124	481.268	222.335	233.301	276.242
b0227	b0227	9	7	41	20.012	15	24.007
b0228	b0228	66	27	130.211	27	29.007	50
b0231	b0231	104	127.992	405.476	211.361	202.443	299.84
b0232	b0232	24	11	47.95	20	34	47.628
b0233	b0233	15	6	34	23	28	30.372
b0234	b0234	9	0	16	10	10	27.001
b0237	b0237	4594.242	4028.86	18189.089	7739.265	7406.815	10590.467
b0238	b0238	100	116	435.126	165.484	162.755	219.113
b0239	b0239	463.069	418.54	1647.709	776.863	681.042	947.594
b0240	b0240	1527.026	1109.123	4433.667	1238.899	1192.395	1495.802
b0241	b0241	2	4	12	6	5	2
b0242	b0242	1819.405	1707.75	6819.09	2536.917	2166.366	3217.73
b0243	b0243	1316.977	1093.622	5264.114	2212.169	1737.246	2854.012
b0244	b0244	0	0	0	0	0	0
b0245	b0245	0	0	1	1	0	0
b0246	b0246	1	0	1	1	2	1
b0247	b0247	0	0	7	2	2	5
b0248	b0248	3	1	2	0	0	0
b0249	b0249	0	0	0	1	0	0
b0250	b0250	122	87	418.559	103.058	140.756	177.15
b0251	b0251	17	13	58	18	11.004	13
b0252	b0252	4	14	28	7	14.065	28.013
b0253	b0253	128	102	465.215	167.962	164.029	215.216
b0254	b0254	18	11	31	7	7	26
b0256	b0256	115.208	78.009	396.774	102.251	124.006	199.037
b0258	b0258	98	106	405.493	286.255	235.021	362.53
b0259	b0259	807.611	663.19	3005.213	427.176	394.165	480.808
b0260	b0260	46	31.001	141.68	103.981	58.159	96.037
b0261	b0261	178.002	144.379	759.739	179.598	141.544	228.92
b0262	b0262	9	3	27	12	15	20.002
b0264	b0264	24	11.765	42.482	18.731	24.588	33
b0265	b0265	14	10.637	62.751	26.517	28.005	43.059
b0266	b0266	71	48.02	258.071	107	96.1	146.724
b0267	b0267	9	10	13.001	7	8	11.005
b0268	b0268	700.835	679.197	4740.096	384.278	378.584	418.309
b0269	b0269	811	828.018	3727.116	334.344	332.056	332.055
b0270	b0270	191.995	163.024	903.794	170.297	135.009	148.952
b0271	b0271	185.012	256	902.314	234.637	191.55	217.543
b0272	b0272	75	76	317.009	138.59	135.337	133.081
b0273	b0273	76	48	240.025	167.435	141.095	170.516
b0274	b0274	17	12.789	48.193	21.641	22.016	42.027
b0275	b0275	17	17.701	43.057	28.494	18.564	31.686
b0276	b0276	9	2	56.003	30	29	27.015
b0277	b0277	8	10	22	12	7	12
b0278	b0278	4	5	14	8	2	5
b0279	b0279	4	7	14	6	5	16
b0280	b0280	36.003	58	289.22	94	114.323	212.341
b0281	b0281	275	218.934	987.238	464.252	359.983	598.061
b0282	b0282	5	7	20	37.83	24	44.862
b0283	b0283	52	35.05	166.369	224.101	142.202	196.389
b0284	b0284	136	144	594.073	916.588	694.466	916.601
b0285	b0285	35	37	198.624	336.362	227.999	308.078
b0286	b0286	29	19	111.356	155.989	120.314	180.123
b0287	b0287	183.058	94	340.1	84.85	41	50.058
b0288	b0288	0	0	1	2	1	1
b0289	b0289	32	14	67.869	45	39	50.865
b0290	b0290	41	35	100.159	48	45.098	74.149
b0291	b0291	31	40	96.005	59.001	54	61.019
b0292	b0292	9	7	28.001	6	10	4
b0293	b0293	64	38	189.012	29	12	49
b0294	b0294	0	0	2	0	0	0
b0295	b0295	0	0	0	0	0	0
b0296	b0296	4	4	6	0	0	2
b0298	b0298	9	3	23.203	7	6	10.993
b0299	b0299	28.061	23	127.511	66.991	54.452	68.737
b0301	b0301	8	9	52	2	15	11
b0303	b0303	1	0	6	1	0	4
b0304	b0304	115	89.002	386.165	59	62.015	106
b0305	b0305	94.001	55	398.057	43	41	73.505
b0306	b0306	1097.501	629.274	1986.197	53	31	39.002
b0307	b0307	2801.437	1676.208	5231.914	219.003	191.756	292.345
b0308	b0308	1920.991	1138.235	2584.306	125.004	122.005	141.998
b0310	b0310	6	0	16.992	5	0	3
b0311	b0311	638.35	572.056	2390.353	738.028	1030.266	1546.035
b0312	b0312	1054.151	939.936	3733.316	1239.695	1740.196	2667.982
b0313	b0313	526.001	505	2207.352	713	1027.472	1488.567
b0314	b0314	570.706	519.186	2263.272	651.009	1012.01	1811.252
b0315	b0315	22	32.732	82	27	17	29.003
b0316	b0316	71	25	254.263	41	39.003	67.001
b0317	b0317	2	1	1	2	3	0
b0318	b0318	26	18	78	43	34	54.086
b0319	b0319	0	2	11	6	12	9
b0320	b0320	9	9	85.599	25	20	25.045
b0321	b0321	19	23	74.011	55	27.132	46.294
b0322	b0322	1	4	9	12	6	2
b0323	b0323	18	4	56.062	31	19	28.971
b0324	b0324	144.949	163.227	552.088	251.843	205.692	306.1
b0325	b0325	837	767.449	3690.488	2159.868	1717.836	2661.702
b0326	b0326	0	0	5	4	3	9.813
b0327	b0327	0	0	0	0	0	0
b0328	b0328	117	53.999	233.515	25.003	27	38
b0329	b0329	823.416	704.433	2870.129	526.001	479.695	849.187
b0330	b0330	439.005	284.996	2084.834	225.965	238.546	327.672
b0331	b0331	0	2	14	6	0	6
b0333	b0333	1	4	21.001	11	12	15
b0334	b0334	19	10	72.218	20	17	36.979
b0335	b0335	35	12	88.859	42.011	51	42
b0336	b0336	112.551	106.282	293.648	134.91	85.021	119.536
b0337	b0337	783.449	645.977	2189.011	1070.605	884.194	1274.147
b0338	b0338	66	84	331.787	108	68.029	140.044
b0339	b0339	10	15	44	35.002	24.679	41.718
b0340	b0340	11	18	48	24	19.321	52.282
b0341	b0341	31	28	124.039	76.04	55.617	84.318
b0342	b0342	34	33	117.949	4	5	9.015
b0343	b0343	309.837	297.314	967.128	55.847	54.801	93.008
b0344	b0344	2279.445	1785.323	7555.7	501.242	528.207	781.344
b0345	b0345	447	303.901	1493.909	342.387	343.512	442.332
b0346	b0346	471.809	301.05	1811.901	210.738	229.743	273.319
b0347	b0347	33	43.004	150.266	33	37.014	49.987
b0348	b0348	10	29	86.135	20	14	36.977
b0349	b0349	18	17	92.268	30.087	22	32.012
b0350	b0350	24	7	76.068	37.198	17.01	43.623
b0351	b0351	41	63	209.105	63	77.686	122.583
b0352	b0352	18	26.338	65.481	46	21	45
b0353	b0353	21	15	48.59	36	31	20.045
b0354	b0354	151	114	499.227	144.004	139.003	194.557
b0355	b0355	289.975	230	974.043	188.969	160.592	273.135
b0356	b0356	1385.745	1262.736	5010.008	1213.757	1068.11	1620.314
b0357	b0357	152	118.045	432.657	140.833	85.894	101.692
b0358	b0358	5	1	22.206	19	10	12
b0360	b0360	57.001	31.788	129.481	78.685	52.004	86.788
b0361	b0361	92	84.276	318.889	142.881	132.673	183.263
b0363	b0363	5	2	18	8	5	13
b0364	b0364	0	0	0	0	0	7
b0365	b0365	5	8	31.002	9	6	4.007
b0366	b0366	13	18	54.002	8	3.028	9.993
b0367	b0367	9	20	52.052	16.837	14.972	14.996
b0368	b0368	18	20	101	35	32.005	26.036
b0369	b0369	614	539	2650.118	1393.651	1167.656	1621.731
b0372	b0372	43	26	129.488	62.328	62	74.532
b0373	b0373	8	4	27.339	13.196	11	21.003
b0375	b0375	0	0	0	0	0	1
b0376	b0376	841.372	615.51	3426.826	1230.046	1031.954	1519.552
b0377	b0377	177	140.013	540.707	444.645	444.069	724.195
b0378	b0378	267	164	853.087	669.528	519.961	919.073
b0379	b0379	4	3	23	197.495	141.044	194.995
b0380	b0380	148	68	636.307	73.993	58	120
b0381	b0381	1368.004	1245.097	4825.199	1692.941	1496.688	1962.323
b0382	b0382	38	15	63.998	19.001	27	32.278
b0383	b0383	515	329.457	1619.541	467.57	438.777	705.032
b0384	b0384	99	119	309.688	207	137	246.459
b0385	b0385	8	15	31	26.311	23	34.007
b0386	b0386	1143.756	1020.181	3623.65	1269.181	1073.616	1431.412
b0387	b0387	20	32.245	151.467	40.277	55.005	55.002
b0388	b0388	52.001	24	141.553	61	61.003	51.864
b0389	b0389	42	15	82	59	47	108.001
b0390	b0390	155.003	160	607.319	613.252	703.228	1227.864
b0391	b0391	589.271	621.018	2049.386	545.678	561.18	726.983
b0393	b0393	396	315.783	1387.048	508.229	489.136	562.689
b0394	b0394	235	156.069	542.984	225.397	177.093	231.082
b0396	b0396	51	22	123.043	89.003	87	122.006
b0397	b0397	305	249.34	1247.454	528.624	414.107	529.338
b0398	b0398	125	98	560.093	227.52	176.971	264.126
b0399	b0399	80.955	64	186.398	101.956	81.006	114
b0400	b0400	46	43	215.97	110.192	85.003	166.97
b0401	b0401	609	739.12	3013.14	1012.976	1042.339	1599.766
b0402	b0402	380.007	321.331	1308.57	478.367	476.945	842.884
b0403	b0403	154	142.586	562.892	397.826	302.384	421.387
b0404	b0404	83	68.012	445.331	242.451	190.213	367.986
b0405	b0405	237	173.963	850.138	460.494	454.566	724.321
b0406	b0406	1070.251	1299.238	4456.785	2175.169	1934.291	2585.35
b0407	b0407	3234.414	3000.761	8128.859	2770.709	2233.369	2937.634
b0408	b0408	4381.475	3312.624	15818.932	4791.332	4397.39	7271.265
b0409	b0409	1973.357	1942.653	7447.222	2377.16	2037.877	3532.201
b0410	b0410	63	27	116.989	38.454	38	55.003
b0411	b0411	3382.321	1814.533	11649.143	2441.36	2223.299	3561.453
b0412	b0412	25	23	128.025	171.001	128.206	186.008
b0413	b0413	359.715	317	1318.733	580.822	528.791	704.444
b0414	b0414	675.279	632.549	2344.529	1067.712	878.13	1313.65
b0415	b0415	1299.173	952.739	2933.541	1230.934	1009.571	1621.936
b0416	b0416	1517.092	949.073	3617.966	1408.173	1199.169	1663.369
b0417	b0417	390.981	415.968	1408.82	638.817	638.736	909.935
b0418	b0418	211	270.777	529.38	323.286	229.373	315.545
b0419	b0419	560.015	477.164	2373.555	1221.371	1062.481	1669.226
b0420	b0420	2047.694	1627.818	7778.014	2587.814	2458.823	3982.044
b0421	b0421	2336.222	1585.325	7163.132	2455.376	2166.76	3344.972
b0422	b0422	625.959	327.987	1307.044	447.868	351.382	456.347
b0423	b0423	512.18	308.03	1343.716	599.57	591.421	921.58
b0424	b0424	356	346.611	1406.116	535.551	492.478	650.078
b0425	b0425	294	211	887.461	440.48	370.224	516.736
b0426	b0426	1343.136	1381.783	5191.268	1869.131	1341.548	2134.211
b0427	b0427	275.303	218	957.814	440.072	440.084	722.008
b0428	b0428	19862.396	16216.911	54581.072	11253.87	10704.082	15700.508
b0429	b0429	11265.577	8568.721	26012.269	5859.682	5318.991	6770.325
b0430	b0430	8670.254	7302.379	32065.203	6036.855	5874.844	9229.639
b0431	b0431	43549.732	32791.387	149852.761	29836.757	29424.509	42315.279
b0432	b0432	23749.989	17837.653	85786.146	17166.19	16953.799	25799.305
b0433	b0433	888.618	773.501	3498.354	1212.659	1281.894	1806.324
b0434	b0434	854.604	556.046	2786.134	858.657	894.002	1171.869
b0435	b0435	256	256.346	1159.186	383.96	356.046	539.882
b0436	b0436	9533.958	7107.953	34846.686	8620.858	7083.521	10446.978
b0437	b0437	2507.92	2332.978	9612.273	3443.05	3050.67	4699.722
b0438	b0438	6662.806	6590.547	29588.732	11762.533	9955.765	16929.579
b0439	b0439	4606.896	6145.827	18119.35	7572.864	5516.46	8586.958
b0440	b0440	5070.446	3614.99	10502.174	1756.967	1238.728	1285.973
b0441	b0441	2540.118	1930.857	8525.654	2550.915	2454.204	3320.174
b0442	b0442	4	7	39.002	6	5	14
b0443	b0443	7	4	13	14	15	26
b0444	b0444	287	235.154	979.699	346.333	339.122	430.016
b0445	b0445	294	127	849.232	133.364	100.311	143.639
b0446	b0446	74	62	293.102	111.995	103.043	178.229
b0447	b0447	39	45	199.497	77.795	91.225	125.647
b0448	b0448	124.244	111	475.142	199.563	225.181	434.994
b0449	b0449	79.756	66	350.069	150.972	121.651	198.186
b0450	b0450	0	0	2	0	0	0
b0451	b0451	14	17	55.88	43	31.341	31.023
b0452	b0452	434.188	408.874	2055.233	957.819	894.335	1313.654
b0453	b0453	2418	2799.951	12288.022	10546.376	8002.654	14106.031
b0454	b0454	12	10	51.145	31.003	21	27.032
b0455	b0455	0	4	1	0	1	0
b0456	b0456	6	9	25	26	16	24
b0457	b0457	259.034	199.332	824.535	363.272	386.383	668.696
b0458	b0458	767.43	542.131	1872.831	842.704	792.792	1169.542
b0459	b0459	237	221.259	932.133	358.267	346.97	743.623
b0460	b0460	90.854	76.332	314.801	167.957	291.527	704.369
b0461	b0461	58	73.005	280.272	359.099	492.305	1023.941
b0462	b0462	6703.496	6289.525	23644.968	7631.1	6891.871	11300.276
b0463	b0463	1986.821	1681.544	6490.583	2034.958	2037.423	3121.428
b0464	b0464	35	19	110.756	48	33.02	57.36
b0465	b0465	463.955	369.507	1587.278	1031.235	858.599	1459.68
b0466	b0466	3	1	0	2	1	2
b0467	b0467	55	42.08	225.722	121.014	78.749	115.032
b0468	b0468	83	63	320.254	103.271	158.085	204.05
b0469	b0469	221	170.13	888.3	491.825	481.46	673.165
b0470	b0470	860.062	755.294	3317.263	1549.07	1493.563	2177.367
b0471	b0471	203	86	418.293	172.35	145.441	146.333
b0472	b0472	1332.115	1338.983	4988.013	1786.21	1240.258	1535.938
b0473	b0473	2444.131	4393.392	12070.77	4346.057	2576.379	4367.541
b0474	b0474	4916.093	3584.843	12854.07	4589.103	3845.732	5314.212
b0475	b0475	387.077	356.09	1685.593	559.955	517.05	807.303
b0476	b0476	133.009	124	425.21	76	63.942	120.942
b0477	b0477	369	308.491	1260.162	623.419	639.975	907.137
b0478	b0478	1396.333	1283.615	3950.349	1154.934	1142.259	1811.828
b0479	b0479	218.825	181.004	806.19	224.063	297.029	466.246
b0480	b0480	1338.939	1237.026	4291.972	1313.801	1071.494	1642.984
b0481	b0481	123	63	268.535	107	93.003	120.082
b0482	b0482	185	113	545.453	330.616	296.254	423.092
b0483	b0483	10	11	53	28	35.008	48.001
b0484	b0484	457.077	517.158	2078.444	3207.977	2157.133	3032.391
b0485	b0485	532.342	575.057	2086.997	10366.843	6822.756	12242.548
b0486	b0486	275	315.567	1453.014	8114.075	5308.297	9863.534
b0487	b0487	81	56.264	292.922	724.791	527.332	963.371
b0488	b0488	131.862	114.907	423.93	168.376	91.095	134.229
b0489	b0489	139	104.008	543.382	186.271	141.031	246.661
b0490	b0490	35	26	146	22	27.001	32
