sample,fastq_1,fastq_2,strandedness,platform
control_1,./data/seq_files_subsampled/SRR30606313_1_sub_50k.fastq.gz,./data/seq_files_subsampled/SRR30606313_2_sub_50k.fastq.gz,auto,ILLUMINA
saccharin_1,./data/seq_files_subsampled/SRR30606316_1_sub_50k.fastq.gz,./data/seq_files_subsampled/SRR30606316_2_sub_50k.fastq.gz,auto,ILLUMINA
